Label;count
Forest land remaining Forest land;7521646
Forest land converted to Cropland;42808
Forest land converted to Grassland;12697
Forest land converted to Artificial land;12555
Cropland converted to Forest land;208
Cropland remaining Cropland;10848780
Cropland converted to Grassland;35839
Cropland converted to Artificial land;24455
Grassland converted to Forest land;2
Grassland converted to Cropland;6
Grassland remaining Grassland;2626593
Grassland converted to Artificial land;21250
Artificial land remaining Artificial land;1229652
Residual land converted to Forest land;1
Residual land converted to Cropland;15082
Residual land converted to Grassland;3
Residual land converted to Artificial land;3
Residual land remaining Residual land;634746
