Region;Code;Label;count
SK01;FORFOR;Forest land remaining Forest land;79825
SK01;CRPCRP;Cropland remaining Cropland;85595
SK01;CRPGRS;Cropland converted to Grassland;253
SK01;CRPART;Cropland converted to Artificial land;4875
SK01;GRSCRP;Grassland converted to Cropland;1
SK01;GRSGRS;Grassland remaining Grassland;4137
SK01;GRSART;Grassland converted to Artificial land;221
SK01;ARTART;Artificial land remaining Artificial land;21188
SK01;RESRES;Residual land remaining Residual land;1971
SK02;FORFOR;Forest land remaining Forest land;404601
SK02;FORART;Forest land converted to Artificial land;215
SK02;CRPCRP;Cropland remaining Cropland;904742
SK02;CRPGRS;Cropland converted to Grassland;23524
SK02;CRPART;Cropland converted to Artificial land;3206
SK02;GRSGRS;Grassland remaining Grassland;31484
SK02;GRSART;Grassland converted to Artificial land;2
SK02;ARTART;Artificial land remaining Artificial land;107529
SK02;RESRES;Residual land remaining Residual land;402
SK03;FORFOR;Forest land remaining Forest land;932596
SK03;CRPCRP;Cropland remaining Cropland;433982
SK03;CRPGRS;Cropland converted to Grassland;15940
SK03;CRPART;Cropland converted to Artificial land;2472
SK03;GRSGRS;Grassland remaining Grassland;132742
SK03;GRSART;Grassland converted to Artificial land;168
SK03;ARTART;Artificial land remaining Artificial land;62381
SK03;RESRES;Residual land remaining Residual land;28498
SK04;FORFOR;Forest land remaining Forest land;784448
SK04;FORART;Forest land converted to Artificial land;21
SK04;CRPCRP;Cropland remaining Cropland;560223
SK04;CRPGRS;Cropland converted to Grassland;10233
SK04;CRPART;Cropland converted to Artificial land;1657
SK04;GRSFOR;Grassland converted to Forest land;11
SK04;GRSGRS;Grassland remaining Grassland;98849
SK04;GRSART;Grassland converted to Artificial land;3006
SK04;ARTART;Artificial land remaining Artificial land;77059
SK04;RESRES;Residual land remaining Residual land;10918
