Region;Code;Label;count
SE01;FORFOR;Forest land remaining Forest land;393264
SE01;FORART;Forest land converted to Artificial land;2720
SE01;CRPCRP;Cropland remaining Cropland;120603
SE01;CRPGRS;Cropland converted to Grassland;9530
SE01;CRPART;Cropland converted to Artificial land;3369
SE01;CRPRES;Cropland converted to Residual land;166
SE01;GRSGRS;Grassland remaining Grassland;6917
SE01;GRSART;Grassland converted to Artificial land;7
SE01;ARTART;Artificial land remaining Artificial land;77024
SE02;FORFOR;Forest land remaining Forest land;2673795
SE02;FORGRS;Forest land converted to Grassland;12
SE02;FORART;Forest land converted to Artificial land;3108
SE02;CRPCRP;Cropland remaining Cropland;967215
SE02;CRPGRS;Cropland converted to Grassland;17864
SE02;CRPART;Cropland converted to Artificial land;422
SE02;CRPRES;Cropland converted to Residual land;428
SE02;GRSGRS;Grassland remaining Grassland;38020
SE02;GRSART;Grassland converted to Artificial land;44
SE02;ARTART;Artificial land remaining Artificial land;88834
SE02;RESRES;Residual land remaining Residual land;572
SE04;FORFOR;Forest land remaining Forest land;653176
SE04;FORART;Forest land converted to Artificial land;437
SE04;CRPCRP;Cropland remaining Cropland;590160
SE04;CRPART;Cropland converted to Artificial land;2203
SE04;GRSGRS;Grassland remaining Grassland;58273
SE04;GRSART;Grassland converted to Artificial land;1531
SE04;ARTART;Artificial land remaining Artificial land;66972
SE04;RESRES;Residual land remaining Residual land;455
SE06;FORFOR;Forest land remaining Forest land;5549319
SE06;FORART;Forest land converted to Artificial land;714
SE06;CRPCRP;Cropland remaining Cropland;352055
SE06;CRPGRS;Cropland converted to Grassland;4799
SE06;CRPART;Cropland converted to Artificial land;269
SE06;CRPRES;Cropland converted to Residual land;2
SE06;GRSGRS;Grassland remaining Grassland;9272
SE06;GRSART;Grassland converted to Artificial land;56
SE06;ARTART;Artificial land remaining Artificial land;72704
SE06;RESRES;Residual land remaining Residual land;95863
SE07;FORFOR;Forest land remaining Forest land;5554522
SE07;FORART;Forest land converted to Artificial land;1628
SE07;CRPCRP;Cropland remaining Cropland;163515
SE07;CRPGRS;Cropland converted to Grassland;6075
SE07;CRPART;Cropland converted to Artificial land;182
SE07;CRPRES;Cropland converted to Residual land;195
SE07;GRSGRS;Grassland remaining Grassland;9678
SE07;GRSART;Grassland converted to Artificial land;7
SE07;ARTART;Artificial land remaining Artificial land;28975
SE07;RESART;Residual land converted to Artificial land;44
SE07;RESRES;Residual land remaining Residual land;729411
SE08;FORFOR;Forest land remaining Forest land;10173186
SE08;FORART;Forest land converted to Artificial land;7698
SE08;CRPCRP;Cropland remaining Cropland;155149
SE08;CRPGRS;Cropland converted to Grassland;6098
SE08;CRPART;Cropland converted to Artificial land;338
SE08;CRPRES;Cropland converted to Residual land;182
SE08;GRSGRS;Grassland remaining Grassland;23524
SE08;ARTART;Artificial land remaining Artificial land;43027
SE08;RESRES;Residual land remaining Residual land;2125430
SE09;FORFOR;Forest land remaining Forest land;2587559
SE09;FORGRS;Forest land converted to Grassland;19
SE09;FORART;Forest land converted to Artificial land;451
SE09;CRPCRP;Cropland remaining Cropland;488608
SE09;CRPGRS;Cropland converted to Grassland;29965
SE09;CRPART;Cropland converted to Artificial land;717
SE09;CRPRES;Cropland converted to Residual land;222
SE09;GRSGRS;Grassland remaining Grassland;70373
SE09;GRSART;Grassland converted to Artificial land;99
SE09;ARTART;Artificial land remaining Artificial land;58146
SE09;RESRES;Residual land remaining Residual land;1049
SE0A;FORFOR;Forest land remaining Forest land;1908748
SE0A;FORART;Forest land converted to Artificial land;1
SE0A;CRPCRP;Cropland remaining Cropland;767708
SE0A;CRPGRS;Cropland converted to Grassland;27784
SE0A;CRPART;Cropland converted to Artificial land;4290
SE0A;CRPRES;Cropland converted to Residual land;1
SE0A;GRSGRS;Grassland remaining Grassland;43954
SE0A;GRSART;Grassland converted to Artificial land;52
SE0A;ARTART;Artificial land remaining Artificial land;92616
SE0A;RESRES;Residual land remaining Residual land;657
