Label;count
Forest land remaining Forest land;3083327
Forest land converted to Cropland;4604
Forest land converted to Artificial land;4261
Cropland remaining Cropland;6758922
Cropland converted to Grassland;6254
Cropland converted to Artificial land;11677
Grassland converted to Cropland;14151
Grassland remaining Grassland;6719427
Grassland converted to Artificial land;39696
Artificial land remaining Artificial land;1376615
Residual land converted to Cropland;109289
Residual land converted to Grassland;141
Residual land converted to Artificial land;15905
Residual land remaining Residual land;3016960
