Region;Code;Label;count
UKC0;FORFOR;Forest land remaining Forest land;101126
UKC0;CRPCRP;Cropland remaining Cropland;200842
UKC0;CRPGRS;Cropland converted to Grassland;8159
UKC0;CRPART;Cropland converted to Artificial land;17434
UKC0;CRPRES;Cropland converted to Residual land;4
UKC0;GRSGRS;Grassland remaining Grassland;232169
UKC0;GRSART;Grassland converted to Artificial land;298
UKC0;ARTART;Artificial land remaining Artificial land;65295
UKC0;RESART;Residual land converted to Artificial land;583
UKC0;RESRES;Residual land remaining Residual land;152767
UKD0;FORFOR;Forest land remaining Forest land;102941
UKD0;FORART;Forest land converted to Artificial land;976
UKD0;CRPCRP;Cropland remaining Cropland;163522
UKD0;CRPGRS;Cropland converted to Grassland;32208
UKD0;CRPART;Cropland converted to Artificial land;3938
UKD0;GRSGRS;Grassland remaining Grassland;584561
UKD0;GRSART;Grassland converted to Artificial land;4004
UKD0;ARTART;Artificial land remaining Artificial land;165090
UKD0;RESART;Residual land converted to Artificial land;21271
UKD0;RESRES;Residual land remaining Residual land;182959
UKE0;FORFOR;Forest land remaining Forest land;107446
UKE0;FORART;Forest land converted to Artificial land;465
UKE0;CRPCRP;Cropland remaining Cropland;689791
UKE0;CRPGRS;Cropland converted to Grassland;362
UKE0;CRPART;Cropland converted to Artificial land;16706
UKE0;CRPRES;Cropland converted to Residual land;1
UKE0;GRSCRP;Grassland converted to Cropland;8329
UKE0;GRSGRS;Grassland remaining Grassland;310983
UKE0;GRSART;Grassland converted to Artificial land;7584
UKE0;ARTART;Artificial land remaining Artificial land;119643
UKE0;RESART;Residual land converted to Artificial land;2241
UKE0;RESRES;Residual land remaining Residual land;110879
UKF0;FORFOR;Forest land remaining Forest land;85777
UKF0;FORART;Forest land converted to Artificial land;2217
UKF0;CRPCRP;Cropland remaining Cropland;983731
UKF0;CRPGRS;Cropland converted to Grassland;10717
UKF0;CRPART;Cropland converted to Artificial land;3320
UKF0;GRSCRP;Grassland converted to Cropland;48735
UKF0;GRSGRS;Grassland remaining Grassland;225651
UKF0;GRSART;Grassland converted to Artificial land;17170
UKF0;ARTART;Artificial land remaining Artificial land;103152
UKF0;RESCRP;Residual land converted to Cropland;505
UKF0;RESGRS;Residual land converted to Grassland;2205
UKF0;RESART;Residual land converted to Artificial land;2106
UKF0;RESRES;Residual land remaining Residual land;15709
UKG0;FORFOR;Forest land remaining Forest land;100732
UKG0;FORART;Forest land converted to Artificial land;262
UKG0;CRPFOR;Cropland converted to Forest land;20
UKG0;CRPCRP;Cropland remaining Cropland;538543
UKG0;CRPGRS;Cropland converted to Grassland;4033
UKG0;CRPART;Cropland converted to Artificial land;24970
UKG0;CRPRES;Cropland converted to Residual land;47
UKG0;GRSCRP;Grassland converted to Cropland;11131
UKG0;GRSGRS;Grassland remaining Grassland;430877
UKG0;GRSART;Grassland converted to Artificial land;17985
UKG0;ARTART;Artificial land remaining Artificial land;127170
UKG0;RESART;Residual land converted to Artificial land;412
UKG0;RESRES;Residual land remaining Residual land;13839
UKH0;FORFOR;Forest land remaining Forest land;118070
UKH0;FORART;Forest land converted to Artificial land;645
UKH0;CRPFOR;Cropland converted to Forest land;2
UKH0;CRPCRP;Cropland remaining Cropland;1299522
UKH0;CRPGRS;Cropland converted to Grassland;11337
UKH0;CRPART;Cropland converted to Artificial land;32596
UKH0;GRSCRP;Grassland converted to Cropland;3290
UKH0;GRSGRS;Grassland remaining Grassland;204182
UKH0;GRSART;Grassland converted to Artificial land;18418
UKH0;ARTART;Artificial land remaining Artificial land;141109
UKH0;RESART;Residual land converted to Artificial land;277
UKH0;RESRES;Residual land remaining Residual land;7708
UKI1;FORFOR;Forest land remaining Forest land;1168
UKI1;FORART;Forest land converted to Artificial land;292
UKI1;ARTART;Artificial land remaining Artificial land;27694
UKI2;FORFOR;Forest land remaining Forest land;11284
UKI2;FORART;Forest land converted to Artificial land;401
UKI2;CRPCRP;Cropland remaining Cropland;6861
UKI2;CRPART;Cropland converted to Artificial land;70
UKI2;GRSGRS;Grassland remaining Grassland;11962
UKI2;GRSART;Grassland converted to Artificial land;121
UKI2;ARTART;Artificial land remaining Artificial land;79378
UKJ0;FORFOR;Forest land remaining Forest land;365569
UKJ0;FORART;Forest land converted to Artificial land;19218
UKJ0;CRPCRP;Cropland remaining Cropland;712358
UKJ0;CRPGRS;Cropland converted to Grassland;238
UKJ0;CRPART;Cropland converted to Artificial land;26172
UKJ0;GRSCRP;Grassland converted to Cropland;5052
UKJ0;GRSGRS;Grassland remaining Grassland;515220
UKJ0;GRSART;Grassland converted to Artificial land;35776
UKJ0;ARTART;Artificial land remaining Artificial land;141203
UKJ0;RESART;Residual land converted to Artificial land;16450
UKJ0;RESRES;Residual land remaining Residual land;627
UKK0;FORFOR;Forest land remaining Forest land;239151
UKK0;FORGRS;Forest land converted to Grassland;12
UKK0;FORART;Forest land converted to Artificial land;908
UKK0;CRPFOR;Cropland converted to Forest land;53
UKK0;CRPCRP;Cropland remaining Cropland;928937
UKK0;CRPGRS;Cropland converted to Grassland;6109
UKK0;CRPART;Cropland converted to Artificial land;16114
UKK0;GRSGRS;Grassland remaining Grassland;882690
UKK0;GRSART;Grassland converted to Artificial land;18829
UKK0;ARTART;Artificial land remaining Artificial land;122538
UKK0;RESGRS;Residual land converted to Grassland;34
UKK0;RESART;Residual land converted to Artificial land;707
UKK0;RESRES;Residual land remaining Residual land;105204
UKL0;FORFOR;Forest land remaining Forest land;270549
UKL0;FORCRP;Forest land converted to Cropland;4100
UKL0;FORGRS;Forest land converted to Grassland;8350
UKL0;FORART;Forest land converted to Artificial land;394
UKL0;CRPCRP;Cropland remaining Cropland;75376
UKL0;CRPGRS;Cropland converted to Grassland;48004
UKL0;GRSGRS;Grassland remaining Grassland;1076215
UKL0;ARTART;Artificial land remaining Artificial land;87218
UKL0;RESCRP;Residual land converted to Cropland;22886
UKL0;RESGRS;Residual land converted to Grassland;64708
UKL0;RESART;Residual land converted to Artificial land;17697
UKL0;RESRES;Residual land remaining Residual land;292055
UKM0;FORFOR;Forest land remaining Forest land;1438376
UKM0;FORGRS;Forest land converted to Grassland;2476
UKM0;FORART;Forest land converted to Artificial land;2738
UKM0;CRPCRP;Cropland remaining Cropland;626185
UKM0;CRPGRS;Cropland converted to Grassland;187569
UKM0;CRPART;Cropland converted to Artificial land;17553
UKM0;CRPRES;Cropland converted to Residual land;48
UKM0;GRSGRS;Grassland remaining Grassland;1204660
UKM0;GRSART;Grassland converted to Artificial land;6792
UKM0;ARTART;Artificial land remaining Artificial land;148517
UKM0;RESGRS;Residual land converted to Grassland;129524
UKM0;RESART;Residual land converted to Artificial land;16295
UKM0;RESRES;Residual land remaining Residual land;1803592
UKN0;FORFOR;Forest land remaining Forest land;101776
UKN0;FORCRP;Forest land converted to Cropland;1521
UKN0;FORGRS;Forest land converted to Grassland;845
UKN0;FORART;Forest land converted to Artificial land;2407
UKN0;CRPCRP;Cropland remaining Cropland;31991
UKN0;CRPGRS;Cropland converted to Grassland;50365
UKN0;CRPART;Cropland converted to Artificial land;1045
UKN0;GRSGRS;Grassland remaining Grassland;890590
UKN0;ARTART;Artificial land remaining Artificial land;48608
UKN0;RESCRP;Residual land converted to Cropland;55047
UKN0;RESGRS;Residual land converted to Grassland;28318
UKN0;RESART;Residual land converted to Artificial land;5604
UKN0;RESRES;Residual land remaining Residual land;70086
