CumulHa;Price
9147;0
9171;99994
9251;99995
9389;99996
9750;99997
10379;99998
11149;99999
11419;100000
11596;100001
11719;100002
11819;100003
11899;100004
11989;100005
12047;100006
12101;100007
12158;100008
12194;100009
12243;100010
12268;100011
12303;100012
12337;100013
12360;100014
12384;100015
12413;100016
12438;100017
12460;100018
12490;100019
12506;100020
12526;100021
12544;100022
12561;100023
12577;100024
12590;100025
12601;100026
12616;100027
12625;100028
12641;100029
12660;100030
12676;100031
12685;100032
12702;100033
12716;100034
12720;100035
12730;100036
12744;100037
12754;100038
12762;100039
12773;100040
12787;100041
12795;100042
12807;100043
12819;100044
12826;100045
12837;100046
12842;100047
12861;100048
12865;100049
12869;100050
12890;100051
12897;100052
12916;100053
12928;100054
12933;100055
12934;100056
12939;100057
12944;100058
12952;100059
12963;100060
12973;100061
12979;100062
12982;100063
12985;100064
12990;100065
12999;100066
13002;100067
13007;100068
13010;100069
13015;100070
13017;100071
13021;100072
13022;100073
13027;100074
13041;100075
13043;100076
13056;100077
13064;100078
13072;100079
13091;100080
13095;100081
13098;100082
13099;100083
13106;100084
13107;100085
13109;100086
13112;100087
13115;100088
13130;100089
13131;100090
13136;100091
13143;100092
13156;100093
13165;100094
13167;100096
13176;100098
13183;100099
13191;100100
13193;100101
13196;100102
13206;100103
13212;100104
13228;100105
13229;100106
13234;100107
13238;100108
13239;100109
13245;100110
13247;100111
13248;100112
13254;100113
13255;100114
13259;100115
13260;100116
13263;100118
13264;100119
13271;100120
13272;100121
13276;100122
13279;100123
13281;100124
13286;100125
13299;100126
13300;100127
13301;100128
13309;100129
13310;100130
13312;100131
13315;100132
13326;100133
13335;100134
13336;100135
13337;100136
13339;100137
13347;100138
13349;100139
13352;100140
13356;100141
13358;100143
13361;100144
13376;100146
13377;100147
13381;100148
13382;100150
13385;100151
13388;100152
13391;100153
13392;100154
13394;100155
13396;100156
13403;100157
13406;100159
13414;100161
13423;100162
13429;100163
13446;100164
13451;100167
13455;100168
13468;100170
13469;100171
13475;100173
13478;100174
13484;100175
13485;100176
13486;100177
13492;100178
13496;100179
13501;100180
13506;100182
13510;100183
13521;100184
13525;100185
13526;100186
13536;100187
13538;100190
13541;100191
13547;100192
13550;100193
13556;100194
13557;100195
13558;100196
13563;100197
13566;100198
13569;100199
13570;100201
13571;100202
13576;100205
13579;100206
13587;100207
13588;100208
13595;100209
13600;100210
13604;100212
13610;100215
13614;100216
13617;100218
13618;100219
13622;100220
13625;100222
13631;100223
13632;100225
13633;100227
13634;100229
13635;100230
13654;100231
13655;100232
13656;100233
13664;100235
13667;100237
13668;100238
13669;100239
13671;100240
13675;100241
13676;100243
13678;100245
13684;100246
13690;100248
13691;100250
13705;100254
13706;100256
13712;100257
13714;100258
13717;100261
13720;100262
13723;100263
13726;100264
13728;100265
13734;100266
13735;100268
13736;100269
13740;100270
13742;100271
13752;100272
13755;100274
13758;100275
13762;100276
13763;100282
13770;100283
13778;100286
13790;100289
13791;100290
13793;100291
13795;100293
13796;100294
13797;100296
13800;100297
13802;100298
13805;100299
13806;100300
13810;100301
13811;100302
13814;100306
13815;100308
13818;100309
13819;100310
13826;100311
13832;100316
13834;100318
13835;100319
13837;100324
13838;100326
13841;100327
13847;100328
13849;100331
13856;100336
13858;100337
13861;100340
13863;100341
13864;100342
13865;100344
13867;100345
13870;100346
13881;100347
13884;100348
13888;100351
13891;100354
13902;100356
13903;100357
13907;100358
13910;100361
13914;100362
13918;100365
13920;100366
13925;100367
13926;100369
13933;100370
13938;100371
13941;100376
13942;100379
13944;100381
13945;100383
13946;100385
13947;100389
13950;100391
13954;100394
13956;100399
13965;100401
13969;100402
13971;100405
13973;100410
13975;100412
13976;100414
13982;100416
13984;100419
13985;100420
13988;100421
13995;100422
13996;100423
13997;100424
13998;100425
13999;100431
14000;100434
14007;100438
14010;100442
14013;100443
14017;100449
14019;100454
14020;100455
14021;100456
14022;100457
14023;100460
14024;100461
14025;100464
14027;100465
14029;100467
14030;100468
14036;100469
14037;100472
14039;100476
14040;100478
14041;100480
14042;100485
14043;100486
14044;100489
