CumulHa;Price
1445679;0
1630345;99999
1981188;100000
1981213;100001
1981230;100002
1981253;100003
1981267;100004
1981283;100005
1981294;100006
1981304;100007
1981324;100008
1981335;100009
1981346;100010
1981355;100011
1981363;100012
1981368;100013
1981380;100014
1981395;100015
1981406;100016
1981414;100017
1981422;100018
1981429;100019
1981442;100020
1981453;100021
1981461;100022
1981466;100023
1981473;100024
1981482;100025
1981489;100026
1981502;100027
1981512;100028
1981521;100029
1981533;100030
1981542;100031
1981558;100032
1981568;100033
1981586;100034
1981609;100035
1981639;100036
1981654;100037
1981659;100038
1981661;100039
1981664;100040
1981665;100041
1981666;100043
1981668;100045
1981669;100046
1981670;100048
1981671;100050
1981672;100051
1981673;100057
1981675;100059
1981676;100061
1981677;100062
1981678;100072
1981679;100074
1981680;100080
1981681;100083
1981682;100089
1981683;100091
1981684;100092
1981685;100097
1981687;100099
1981688;100101
1981689;100102
1981690;100110
1981691;100117
1981692;100130
1981693;100169
1981694;100177
1981695;100185
1981696;100211
1981697;102259
1981698;151391
1981699;152311
1981700;156218
1981701;193341
1981702;198848
1981707;199997
1981746;199998
1983100;199999
1998922;200000
1998923;200020
1998925;200054
1998926;200057
1998927;200063
1998928;200127
1998929;200154
1998930;200157
1998931;200238
1998932;200241
1998933;200246
1998935;200321
1998938;200323
1998939;200324
1998940;200349
1998941;200354
1998942;200359
1998943;200361
1998944;200364
1998945;200366
1998946;200370
1998947;200371
1998948;200378
1998949;200382
1998950;200495
1998951;200581
1998952;200584
1998956;200586
1998957;200588
1998960;200589
1998961;200591
1998964;200592
1998966;200593
1998968;200595
1998969;200596
1998970;200597
1998973;200598
1998975;200600
1998977;200601
1998979;200603
1998983;200604
1998984;200605
1998986;200607
1998989;200608
1998992;200610
1998993;200611
1998994;200612
1998996;200613
1998999;200615
1999000;200616
1999002;200617
1999004;200618
1999005;200619
1999007;200620
1999008;200621
1999010;200622
1999011;200623
1999014;200625
1999015;200626
1999016;200628
1999018;200629
1999019;200630
1999021;200632
1999022;200633
1999023;200635
1999025;200636
1999027;200637
1999028;200638
1999029;200639
1999031;200641
1999032;200643
1999033;200644
1999034;200646
1999035;200647
1999036;200650
1999037;200653
1999038;200659
1999039;200664
1999040;200666
1999041;200671
1999042;200674
1999043;200679
1999044;200681
1999045;200686
1999046;200687
1999047;200691
1999048;200693
1999049;200772
1999050;200775
1999051;200776
1999052;200777
1999053;200781
1999054;200784
1999057;200785
1999058;200786
1999059;200789
1999060;200790
1999061;200793
1999063;200794
1999065;200795
1999066;200797
1999068;200798
1999069;200800
1999071;200803
1999072;200804
1999073;200805
1999074;200809
1999075;200812
1999076;200815
1999077;200819
1999078;200847
1999079;201053
1999080;201081
1999081;201103
1999082;201117
1999083;201136
1999084;201137
1999085;201145
1999086;201172
1999087;201185
1999088;201187
1999089;201271
1999090;201275
1999091;201277
1999092;201280
1999093;201281
1999094;201284
1999096;201294
1999097;201309
1999098;201313
1999099;201316
1999100;201331
1999101;201333
1999102;201334
1999104;201342
1999105;201346
1999106;201347
1999107;201388
1999108;201395
1999109;201411
1999110;201426
1999112;201427
1999114;201428
1999115;201429
1999116;201432
1999117;201434
1999118;201441
1999119;201448
1999120;201470
1999122;201481
1999123;201493
1999124;201495
1999125;201503
1999126;201506
1999127;201507
1999128;201509
1999129;201510
1999130;201511
1999131;201512
1999132;201516
1999133;201520
1999135;201523
1999136;201531
1999137;201536
1999138;201539
1999139;201588
1999140;201616
1999141;201636
1999142;201652
1999143;201668
1999144;201673
1999145;201674
1999146;201681
1999147;201688
1999148;201694
1999149;201719
1999150;201720
1999151;201731
1999152;201734
1999153;201738
1999154;201742
1999155;201743
1999156;201748
1999157;201752
1999158;201753
1999159;201762
1999160;201803
1999161;201817
1999162;201820
1999163;201828
1999164;201860
1999166;201868
1999167;201870
1999168;201887
1999169;201906
1999170;201914
1999171;201935
1999172;201943
1999173;201947
1999174;201949
1999175;201963
1999176;201992
1999177;201995
1999178;202041
1999179;202048
1999180;202052
1999181;202053
1999182;202055
1999183;202059
1999184;202063
1999185;202064
1999186;202083
1999187;202125
1999188;202247
1999189;202328
1999190;202337
1999191;202340
1999192;202342
1999193;202344
1999194;202352
1999195;202353
1999196;202357
1999197;202358
1999198;202362
1999199;202363
1999201;202367
1999202;202370
1999203;202371
1999204;202418
1999205;202438
1999206;202452
1999207;202471
1999208;202472
1999209;202479
1999210;202484
1999211;202486
1999212;202491
1999213;202493
1999214;202496
1999215;202497
1999217;202499
1999218;202509
1999219;202511
1999220;202515
1999221;202517
1999222;202523
1999223;202525
1999225;202528
1999226;202541
1999227;202542
1999228;202549
1999229;202551
1999230;202564
1999231;202575
1999232;202586
1999233;202587
1999234;202589
1999236;202590
1999237;202592
1999239;202594
1999240;202597
1999242;202599
1999243;202601
1999245;202605
1999246;202607
1999247;202609
1999248;202611
1999249;202615
1999250;202619
1999251;202626
1999253;202638
1999255;202643
1999256;202645
1999257;202648
1999258;202657
1999259;202659
1999260;202665
1999261;202671
1999262;202678
1999263;202687
1999264;202688
1999266;202689
1999267;202691
1999268;202692
1999269;202714
1999270;202718
1999271;202719
1999272;202727
1999274;202739
1999275;202753
1999276;202755
1999277;202765
1999278;202766
1999279;202777
1999280;202792
1999281;202793
1999282;202813
1999283;202828
1999284;202847
1999285;202872
1999286;202886
1999287;202903
1999288;202911
1999289;202928
1999290;202952
1999291;202958
1999292;202984
1999293;202992
1999294;203010
1999295;203016
1999296;203022
1999297;203058
1999298;203084
1999299;203134
1999300;203135
1999301;203165
1999302;203170
1999303;203173
1999304;203180
1999305;203198
1999306;203203
1999307;203204
1999308;203231
1999309;203234
1999310;203236
1999311;203243
1999312;203249
1999313;203250
1999315;203253
1999316;203272
1999317;203291
1999319;203300
1999320;203304
1999322;203305
1999324;203307
1999325;203310
1999326;203312
1999327;203313
1999328;203318
1999329;203321
1999330;203328
1999331;203329
1999332;203334
1999333;203340
1999334;203348
1999335;203352
1999336;203368
1999337;203376
1999341;203380
1999342;203381
1999343;203391
1999344;203439
1999345;203444
1999346;203471
1999347;203494
1999348;203521
1999349;203546
1999350;203576
1999351;203609
1999352;203668
1999353;203670
1999355;203671
1999356;203673
1999357;203675
1999358;203676
1999359;203677
1999360;203679
1999362;203682
1999363;203683
1999365;203685
1999368;203692
1999369;203693
1999370;203694
1999371;203698
1999372;203704
1999373;203711
1999374;203716
1999375;203725
1999376;203728
1999377;203733
1999378;203737
1999379;203765
1999380;203778
1999381;203781
1999382;203797
1999383;203805
1999384;203812
1999385;203819
1999386;203826
1999387;203853
1999388;203856
1999389;203860
1999390;203865
1999391;203871
1999392;203875
1999393;203882
1999394;203885
1999395;203896
1999396;203905
1999397;203922
1999398;203941
1999399;204012
1999400;204027
1999401;204073
1999402;204080
1999403;204141
1999404;204177
1999405;204189
1999406;204237
1999407;204257
1999408;204367
1999409;204403
1999410;204413
1999411;204426
1999412;204435
1999413;204441
1999414;204463
1999415;204470
1999416;204483
1999417;204488
1999418;204491
1999419;204495
1999420;204509
1999421;204510
1999422;204516
1999423;204531
1999424;204534
1999425;204548
1999426;204549
1999427;204564
1999428;204565
1999429;204570
1999430;204585
1999431;204586
1999432;204587
1999433;204590
1999434;204591
1999435;204597
1999436;204598
1999437;204600
1999438;204612
1999439;204613
1999440;204622
1999441;204624
1999442;204632
1999443;204633
1999444;204662
1999445;204668
1999446;204675
1999447;204683
1999448;204693
1999449;204702
1999451;205093
1999452;205100
1999453;205109
1999454;205141
1999455;205221
1999456;205233
1999457;205348
1999458;205396
1999459;205435
1999460;205476
1999461;205485
1999462;205486
1999463;205489
1999464;205916
1999465;205951
1999466;205975
1999467;205979
1999468;205991
1999469;206006
1999470;207645
1999471;207680
1999472;207694
1999473;207733
1999474;207736
1999475;207774
1999476;207776
1999477;207814
1999478;207821
1999479;207859
1999480;207861
1999481;207890
1999482;207903
1999483;207914
1999484;207935
1999485;207961
1999486;207981
1999487;207995
1999488;208040
1999489;399815
1999490;399825
1999491;399828
1999492;399831
1999493;399837
1999494;399843
1999495;399848
1999498;399852
1999499;399861
1999500;399862
1999502;399863
1999515;399864
1999516;399865
1999519;399866
1999520;399867
1999521;399868
1999523;399869
1999524;399870
1999527;399871
1999535;399872
1999538;399873
1999545;399874
1999556;399875
1999560;399876
1999563;399878
1999565;399880
1999574;399881
1999577;399882
1999579;399883
1999583;399884
1999585;399885
1999588;399886
1999593;399887
1999601;399888
1999605;399889
1999613;399890
1999617;399891
1999620;399892
1999623;399893
1999629;399894
1999635;399895
1999638;399896
1999645;399897
1999649;399898
1999659;399899
1999666;399900
1999670;399901
1999675;399902
1999681;399903
1999684;399904
1999686;399905
1999688;399907
1999691;399908
1999697;399909
1999707;399910
1999715;399911
1999720;399912
1999726;399913
1999728;399914
1999733;399915
1999740;399916
1999750;399917
1999753;399918
1999762;399919
1999769;399920
1999782;399921
1999794;399922
1999807;399923
1999809;399924
1999819;399925
1999836;399926
1999851;399927
1999861;399928
1999865;399929
1999873;399930
1999884;399931
1999896;399932
1999910;399933
1999915;399934
1999916;399935
1999919;399936
1999925;399937
1999933;399938
1999940;399939
1999957;399940
1999968;399941
1999973;399942
1999979;399944
1999982;399945
1999986;399946
1999992;399947
2000002;399948
2000003;399949
2000005;399950
2000008;399951
2000009;399952
2000010;399953
2000016;399954
2000018;399955
2000020;399956
2000021;399969
2000026;399973
2000028;399974
2000035;399975
2000047;399976
2000056;399977
2000069;399978
2000073;399979
2000087;399980
2000111;399981
2000113;399982
2000116;399983
2000118;399984
2000120;399985
2000129;399986
2000144;399987
2000147;399988
2000153;399989
2000162;399990
2000174;399991
2000235;399992
2000253;399993
2000403;399994
2000411;399995
2000412;399997
2000683;399999
2003111;400000
2003131;400001
2003158;400002
2003178;400003
2003198;400004
2003237;400005
2003263;400006
2003284;400007
2003321;400008
2003353;400009
2003380;400010
2003413;400011
2003457;400012
2003490;400013
2003579;400014
2003641;400015
2003691;400016
2003729;400017
2003804;400018
2003870;400019
2003945;400020
2004016;400021
2004112;400022
2004263;400023
2004361;400024
2004554;400025
2004677;400026
2004854;400027
2005047;400028
2005265;400029
2005479;400030
2007161;400031
2007580;400032
2007581;400034
2007583;400035
2007585;400036
2007588;400037
2007591;400039
2007596;400040
2007597;400042
2007599;400043
2007602;400044
2007604;400045
2007605;400046
2007606;400047
2007607;400048
2007609;400049
2007612;400050
2007615;400051
2007616;400053
2007620;400054
2007621;400055
2007623;400056
2007624;400057
2007625;400058
2007627;400059
2007628;400060
2007629;400061
2007631;400062
2007633;400063
2007634;400064
2007636;400065
2007639;400068
2007640;400069
2007641;400071
2007642;400072
2007643;400074
2007644;400075
2007646;400077
2007647;400078
2007649;400079
2007651;400080
2007652;400081
2007653;400087
2007655;400088
2007656;400089
2007657;400091
2007659;400093
2007660;400094
2007661;400095
2007662;400096
2007663;400098
2007665;400099
2007667;400100
2007669;400101
2007671;400102
2007672;400104
2007675;400108
2007676;400109
2007678;400110
2007679;400111
2007680;400113
2007681;400115
2007682;400117
2007683;400118
2007684;400122
2007685;400124
2007686;400125
2007687;400126
2007688;400130
2007690;400131
2007691;400137
2007693;400140
2007694;400143
2007697;400145
2007699;400147
2007700;400148
2007701;400151
2007702;400152
2007703;400155
2007704;400156
2007705;400157
2007706;400165
2007707;400166
2007708;400169
2007709;400170
2007711;400171
2007712;400172
2007713;400173
2007714;400174
2007715;400175
2007716;400180
2007718;400183
2007719;400184
2007720;400187
2007722;400189
2007724;400191
2007725;400194
2007727;400195
2007728;400196
2007729;400200
2007730;400201
2007731;400202
2007733;400205
2007737;400207
2007739;400208
2007740;400209
2007741;400210
2007742;400211
2007743;400212
2007745;400214
2007747;400215
2007749;400216
2007750;400217
2007752;400220
2007755;400221
2007756;400222
2007757;400223
2007759;400224
2007761;400225
2007764;400226
2007766;400227
2007768;400228
2007769;400229
2007772;400230
2007773;400231
2007776;400232
2007777;400233
2007780;400234
2007781;400236
2007782;400237
2007786;400238
2007787;400239
2007791;400240
2007792;400241
2007794;400242
2007798;400243
2007799;400244
2007801;400245
2007803;400246
2007808;400247
2007810;400248
2007813;400249
2007814;400250
2007819;400251
2007822;400252
2007823;400253
2007828;400254
2007830;400255
2007831;400256
2007837;400257
2007838;400258
2007841;400259
2007847;400261
2007851;400262
2007856;400263
2007859;400264
2007862;400265
2007865;400266
2007868;400267
2007872;400268
2007874;400269
2007878;400270
2007882;400271
2007883;400272
2007884;400273
2007885;400274
2007889;400276
2007890;400277
2007891;400278
2007893;400280
2007895;400282
2007899;400285
2007900;400286
2007901;400287
2007902;400288
2007903;400289
2007905;400291
2007907;400292
2007908;400295
2007910;400297
2007915;400298
2007916;400299
2007917;400300
2007919;400301
2007921;400302
2007922;400303
2007924;400304
2007925;400305
2007927;400306
2007933;400308
2007936;400309
2007940;400310
2007942;400311
2007950;400312
2007954;400313
2007963;400314
2007969;400315
2007974;400316
2007979;400317
2007981;400318
2007984;400319
2007986;400320
2007987;400321
2007989;400322
2007992;400324
2007995;400325
2008000;400326
2008001;400327
2008005;400328
2008006;400331
2008008;400334
2008010;400337
2008011;400338
2008012;400339
2008013;400340
2008014;400342
2008015;400345
2008016;400347
2008017;400348
2008018;400351
2008019;400354
2008020;400356
2008021;400357
2008022;400358
2008023;400360
2008024;400362
2008025;400363
2008026;400364
2008028;400365
2008030;400367
2008033;400369
2008035;400370
2008036;400371
2008040;400372
2008041;400373
2008044;400374
2008046;400377
2008048;400378
2008049;400380
2008052;400382
2008054;400383
2008058;400385
2008061;400386
2008065;400387
2008066;400388
2008071;400389
2008073;400390
2008075;400391
2008076;400392
2008078;400394
2008080;400395
2008082;400397
2008084;400398
2008085;400399
2008088;400400
2008091;400401
2008092;400402
2008093;400403
2008095;400404
2008097;400405
2008099;400406
2008101;400407
2008102;400409
2008103;400411
2008104;400414
2008105;400417
2008106;400422
2008107;400424
2008108;400425
2008109;400426
2008110;400427
2008113;400429
2008115;400431
2008116;400433
2008117;400434
2008119;400444
2008122;400445
2008123;400447
