CumulHa;Price
2614037;0
3019160;1
3023662;2
3024958;3
3025384;4
3025611;5
3025777;6
3025888;7
3025960;8
3026005;9
3026047;10
3026080;11
3026103;12
3026128;13
3026150;14
3026164;15
3026183;16
3026197;17
3026206;18
3026222;19
3026240;20
3026254;21
3026267;22
3026279;23
3026289;24
3026306;25
3026312;26
3026324;27
3026347;28
3026363;29
3026370;30
3026382;31
3026390;32
3026396;33
3026402;34
3026410;35
3026419;36
3026426;37
3026432;38
3026439;39
3026449;40
3026456;41
3026458;42
3026461;43
3026467;44
3026470;45
3026474;46
3026476;47
3026480;48
3026485;49
3026489;50
3026491;51
3026496;52
3026498;53
3026504;54
3026506;55
3026510;56
3026511;57
3026512;58
3026514;59
3026520;60
3026522;62
3026525;63
3026526;64
3026529;65
3026532;66
3026535;67
3026536;69
3026537;70
3026539;72
3026540;73
3026541;74
3026543;77
3026544;78
3026545;80
3026549;82
3026550;84
3026551;86
3026552;87
3026557;89
3026559;90
3026561;91
3026563;92
3026564;93
3026565;94
3026566;95
3026568;96
3026569;97
3026570;98
3026573;100
3026574;102
3026575;105
3026577;106
3026580;107
3026582;108
3026584;110
3026587;113
3026589;114
3026590;115
3026592;116
3026593;118
3026595;121
3026596;122
3026600;123
3026603;124
3026605;127
3026607;128
3026610;129
3026612;132
3026614;133
3026619;134
3026620;135
3026622;136
3026623;137
3026625;138
3026627;139
3026628;140
3026630;141
3026632;143
3026633;144
3026636;146
3026637;147
3026639;148
3026640;149
3026642;150
3026644;151
3026645;152
3026646;153
3026648;154
3026649;155
3026651;156
3026654;158
3026655;159
3026657;160
3026658;161
3026661;162
3026662;163
3026665;164
3026667;165
3026668;166
3026669;167
3026672;168
3026673;169
3026674;170
3026675;171
3026676;172
3026677;173
3026678;174
3026680;175
3026681;176
3026685;177
3026687;178
3026688;179
3026689;181
3026690;182
3026692;183
3026694;184
3026697;185
3026701;186
3026704;187
3026706;188
3026709;189
3026714;190
3026715;191
3026717;192
3026719;194
3026722;195
3026728;196
3026729;197
3026731;198
3026734;199
3026737;200
3026742;201
3026744;203
3026745;205
3026749;206
3026750;207
3026753;208
3026755;209
3026759;210
3026760;211
3026764;212
3026766;214
3026772;215
3026775;216
3026778;217
3026781;218
3026783;219
3026784;220
3026787;221
3026789;222
3026790;224
3026791;225
3026792;227
3026796;228
3026804;229
3026806;230
3026807;231
3026809;232
3026811;234
3026812;236
3026813;237
3026816;238
3026817;239
3026818;241
3026825;242
3026827;243
3026830;244
3026833;245
3026834;246
3026835;248
3026836;252
3026837;254
3026840;255
3026842;256
3026845;258
3026846;259
3026847;260
3026848;261
3026849;262
3026850;264
3026852;266
3026853;267
3026854;268
3026855;269
3026856;270
3026858;273
3026861;274
3026863;275
3026865;276
3026866;277
3026868;278
3026871;279
3026872;280
3026874;282
3026875;283
3026878;284
3026882;285
3026883;286
3026887;287
3026889;288
3026891;291
3026893;293
3026894;294
3026897;295
3026901;296
3026902;297
3026903;298
3026905;299
3026908;300
3026910;301
3026911;302
3026914;303
3026916;304
3026918;306
3026921;307
3026924;308
3026925;310
3026928;311
3026930;312
3026931;313
3026933;315
3026936;317
3026939;318
3026941;320
3026944;321
3026946;322
3026947;323
3026950;324
3026953;325
3026955;326
3026956;327
3026957;329
3026961;331
3026963;332
3026965;333
3026968;334
3026969;335
3026971;336
3026972;337
3026973;338
3026974;339
3026980;340
3026985;341
3026986;342
3026989;343
3026993;344
3026997;345
3027000;346
3027001;347
3027003;348
3027009;349
3027012;350
3027016;351
3027021;352
3027023;353
3027029;354
3027036;355
3027043;356
3027047;357
3027051;358
3027053;359
3027054;360
3027063;361
3027070;362
3027073;363
3027075;364
3027076;365
3027082;366
3027085;367
3027086;368
3027090;370
3027094;372
3027096;373
3027101;374
3027103;375
3027105;376
3027108;377
3027109;378
3027113;379
3027115;380
3027117;381
3027119;382
3027122;383
3027123;384
3027128;385
3027131;386
3027139;387
3027143;389
3027147;390
3027152;391
3027156;392
3027158;393
3027163;394
3027171;395
3027176;396
3027181;397
3027183;398
3027188;399
3027195;400
3027197;401
3027202;402
3027205;403
3027210;404
3027214;405
3027218;406
3027220;407
3027226;408
3027232;409
3027240;410
3027245;411
3027253;412
3027258;413
3027263;414
3027267;415
3027275;416
3027277;417
3027281;418
3027283;419
3027285;420
3027290;421
3027291;422
3027294;424
3027298;425
3027299;426
3027300;427
3027301;428
3027302;429
3027303;430
3027306;431
3027307;432
3027309;433
3027311;434
3027317;435
3027319;436
3027321;437
3027326;438
3027328;439
3027331;440
3027335;442
3027336;443
3027341;445
3027342;446
3027347;447
3027357;448
3027361;449
3027364;450
3027370;451
3027374;452
3027378;453
3027382;454
3027386;455
3027388;456
3027394;457
3027400;458
3027412;459
3027417;460
3027423;461
3027432;462
3027438;463
3027444;464
3027445;466
3027446;469
3027449;470
3027452;471
3027454;473
3027456;474
3027458;475
3027459;478
3027460;479
3027461;480
3027462;482
3027463;483
3027464;484
3027466;485
3027467;487
3027469;488
3027470;489
3027471;493
3027472;494
3027473;495
3027474;496
3027475;497
3027476;498
3027479;499
3027480;500
3027481;502
3027484;503
3027485;504
3027486;505
3027487;511
3027488;512
3027489;514
3027490;515
3027493;521
3027494;522
3027495;524
3027496;526
3027498;529
3027500;549
3027501;585
3027502;598
3027503;600
3027504;668
3027505;731
3027506;743
3027507;752
3027509;765
3027510;772
3027511;782
3027512;813
3027513;814
3027514;839
3027515;923
3027516;924
3027517;1046
3027518;1089
3027519;1140
3027520;1161
3027521;1206
3027522;1358
3027523;1387
3027524;1461
3027525;1484
3027526;1533
3027527;1564
3027528;1654
3027529;1689
3027530;1697
3027531;1702
3027532;1724
3027533;1745
3027534;1753
3027535;1762
3027536;1808
3027537;1816
3027538;1817
3027539;1878
3027540;1907
3027541;1961
3027542;2227
3027543;2287
3027544;2507
3027545;2538
3027546;2604
3027547;2627
3027548;2655
3027549;2708
3027550;2728
3027551;2826
3027552;2871
3027553;2933
3027554;2947
3027555;2977
3027556;2987
3027557;2988
3027558;2998
3027559;3002
3027560;3005
3027561;3036
3027562;3066
3027563;3069
3027564;3072
3027565;3075
3027566;3088
3027567;3102
3027568;3106
3027569;3108
3027570;3124
3027572;3230
3027573;3243
3027574;3316
3027575;3323
3027576;3430
3027577;3495
3027578;3688
3027580;3715
3027581;3785
3027582;3786
3027583;3795
3027584;3876
3027585;3885
3027586;3889
3027587;3892
3027588;3898
3027589;3912
3027590;3943
3027591;3948
3027592;3955
3027593;3983
3027594;3999
3027595;4001
3027596;4002
3027597;4009
3027598;4010
3027599;4026
3027600;4033
3027601;4034
3027602;4035
3027603;4042
3027604;4044
3027605;4048
3027606;4066
3027607;4071
3027608;4072
3027609;4077
3027610;4079
3027611;4101
3027612;4106
3027613;4109
3027614;4161
3027615;4164
3027616;4168
3027617;4171
3027618;4172
3027619;4175
3027620;4188
3027622;4202
3027623;4237
3027624;4239
3027625;4818
3027626;5511
3027627;6413
3027628;8607
3027629;8648
3027630;8743
3027631;9111
3027632;14012
3027633;14854
3027634;20490
3027635;21795
3027636;23501
3027637;24908
3027638;26222
3027639;26804
3027640;27896
3027641;28260
3027642;28561
3027643;29262
3027644;29887
3027645;31749
3027646;32835
3027647;33459
3027648;34114
3027649;34897
3027650;35139
3027651;35505
3027652;35913
3027653;36468
3027654;36807
3027655;37461
3027656;37953
3027657;38141
3027658;39690
3027659;39696
3027660;40491
3027662;40708
3027663;41301
3027664;42045
3027665;42979
3027666;43222
3027667;44165
3027668;45985
3027669;46271
3027670;47959
3027671;51999
3027672;52009
3027673;53887
3027674;54648
3027675;57259
3027676;60375
3027677;61681
3027678;61696
3027679;63362
3027680;63811
3027681;64727
3027682;65101
3027683;66989
3027684;68422
3027685;71254
3027686;72395
3027687;73456
3027688;74413
3027689;75916
3027690;76285
3027691;77956
3027692;78812
3027693;78852
3027694;78907
3027695;78931
3027696;78996
3027697;80808
3027698;82177
3027699;82373
3027700;83046
3027701;83920
3027702;85043
3027703;85933
3027704;89421
3027705;90087
3027706;91998
3027707;95116
3027708;95121
3027709;95124
3027710;95125
3027712;95126
3027713;95128
3027714;95130
3027715;95131
3027716;95132
3027718;95133
3027720;95134
3027724;95136
3027727;95137
3027729;95138
3027730;95139
3027733;95140
3027734;95145
3027736;95146
3027737;95148
3027738;97876
3027739;98546
3027740;98591
3027741;98745
3027742;99582
3027743;99610
3028108;100000
3029833;100001
3029871;100002
3029904;100003
3029924;100004
3029925;100006
3029926;100157
3029927;100663
3029928;100696
3029929;100747
3029930;100752
3029931;100783
3029932;100789
3029933;100793
3029934;100798
3029935;100818
3029936;100834
3029938;100835
3029939;100846
3029940;100848
3029941;100871
3029942;100887
3029943;100901
3029944;100918
3029945;100924
3029946;100925
3029947;100931
3029948;100941
3029949;100968
3029950;100970
3029951;100996
3029952;101007
3029953;101037
3029954;101068
3029955;101080
3029956;101090
3029957;101102
3029958;101107
3029959;104999
3029960;106402
3029961;107353
3029962;107548
3029963;112433
3029964;114169
3029965;114949
3029966;115130
3029967;115482
3029968;120369
3029969;121602
3029970;122614
3029971;123228
3029972;123332
3029974;123569
3029975;124454
3029990;125000
3029991;125225
3029992;129540
3029993;129889
3029994;130094
3029995;130948
3029996;131670
3029997;132091
3029998;132175
3029999;132784
3030000;134241
3030001;134597
3030002;137011
3030003;137029
3030004;138250
3030005;138407
3030006;139106
3030007;140155
3030008;140876
3030009;141230
3030010;141255
3030011;141330
3030012;141389
3030013;141740
3030014;142151
3030015;142193
3030016;142308
3030017;142350
3030018;142384
3030019;142401
3030020;142434
3030021;142465
3030022;142490
3030023;142497
3030024;142524
3030025;142528
3030026;142546
3030027;142552
3030028;142566
3030029;142631
3030030;142673
3030031;142771
3030032;142782
3030033;142792
3030034;142798
3030035;142802
3030036;142805
3030037;142807
3030038;142820
3030039;142826
3030040;142827
3030041;142828
3030042;142829
3030044;142830
3030046;142832
3030050;142833
3030054;142834
3030068;142835
3030095;142836
3030118;142837
3030121;142838
3030124;142839
3030127;142840
3030130;142841
3030131;142842
3030132;142843
3030133;142844
3030136;142845
3030138;142846
3030139;142847
3030143;142848
3030145;142850
3030146;142851
3030147;142852
3030149;142853
3030153;142854
3030160;142855
3030167;142856
3030182;142857
3030183;143459
3030184;144120
3030185;144746
3030186;144988
3030187;145420
3030188;145430
3030189;145514
3030190;146754
3030191;146800
3030192;147338
3030193;148103
3030194;148337
3030195;148725
3030196;149075
3030197;149129
3030198;149130
3030199;149468
3030200;150189
3030201;150227
3030202;150386
3030203;150412
3030204;150862
3030205;150945
3030206;150956
3030207;151026
3030208;151086
3030209;151137
3030210;151264
3030211;151274
3030212;151511
3030213;152027
3030214;152192
3030215;152200
3030216;152281
3030217;152394
3030218;152442
3030219;152819
3030220;152859
3030221;152899
3030222;153002
3030223;153208
3030224;153226
3030225;153247
3030226;153296
3030227;153474
3030228;153726
3030229;154279
3030230;154439
3030231;154461
3030232;154663
3030233;155166
3030234;155239
3030235;155432
3030236;155441
3030237;155971
3030238;156415
3030239;157267
3030240;157357
3030241;157737
3030242;158306
3030243;158574
3030244;158677
3030245;159291
3030247;159338
3030249;159348
3030250;159416
3030251;159890
3030252;160317
3030253;160355
3030254;161137
3030255;161455
3030256;161673
3030257;161941
3030258;162010
3030260;162739
3030261;162740
3030262;162741
3030263;162743
3030264;162745
3030265;162749
3030266;162782
3030267;162785
3030268;162788
3030270;162791
3030271;162794
3030272;162798
3030273;162799
3030274;162804
3030275;162807
3030276;162812
3030277;162825
3030278;162830
3030279;162845
3030280;162850
3030281;162853
3030282;162856
3030284;162860
3030285;162863
3030286;162864
3030287;162865
3030288;162867
3030289;162873
3030290;162875
3030292;162960
3030293;163430
3030294;163626
3030295;164097
3030296;164548
3030297;164604
3030298;164874
3030299;164909
3030300;164967
3030301;165145
3030306;165474
3030307;165499
3030308;165509
3030309;165558
3030311;165578
3030312;165583
3030313;165605
3030314;165610
3030315;165787
3030316;166009
3030317;166102
3030318;166143
3030319;166196
3030320;166199
3030322;166260
3030323;166267
3030324;166274
3030325;166308
3030326;166349
3030327;166636
3030328;166666
3030330;166667
3030331;167025
3030332;167073
3030333;167083
3030334;167126
3030335;167129
3030336;167130
3030337;167138
3030338;167195
3030339;167250
3030340;167825
3030341;167850
3030342;168071
3030344;168072
3030345;168085
3030346;168138
3030347;168151
3030350;168218
3030351;168241
3030352;168288
3030353;168338
3030354;168352
3030355;168360
3030356;168689
3030357;169205
3030358;169230
3030360;169462
3030362;169573
3030363;169631
3030364;169646
3030365;169692
3030366;169767
3030367;169996
3030368;170004
3030369;170672
3030370;170755
3030371;170841
3030372;170946
3030373;171070
3030374;171172
3030375;171205
3030376;171277
3030377;172282
3030378;172589
3030379;172631
3030380;173027
3030381;173577
3030382;173652
3030383;174118
3030384;174343
3030385;174956
3030386;175352
3030387;175411
3030388;175440
3030389;175600
3030390;175886
3030391;176006
3030392;176125
3030393;176143
3030394;176337
3030395;176546
3030396;176943
3030397;177479
3030398;177556
3030399;177923
3030400;178142
3030401;178371
3030402;178406
3030403;178413
3030404;178509
3030405;178544
3030406;178662
3030407;178727
3030408;179171
3030409;179198
3030410;179285
3030411;179401
3030412;179996
3030413;180361
3030414;180389
3030415;180877
3030416;180895
3030417;180907
3030418;181162
3030419;181322
3030420;181329
3030421;181549
3030422;181638
3030423;181767
3030424;181803
3030425;181917
3030426;182989
3030427;183004
3030428;183388
3030429;183521
3030430;183670
3030431;183730
3030432;183927
3030433;183945
3030434;184212
3030435;184382
3030436;184745
3030437;184895
3030438;184987
3030439;185321
3030440;185410
3030441;185542
3030442;185776
3030443;186711
3030444;186767
3030445;187087
3030446;187883
3030447;188469
3030448;188758
3030449;188831
3030450;189320
3030451;189590
3030452;189738
3030453;189805
3030454;190067
3030455;190705
3030456;190732
3030457;190809
3030458;190840
3030462;191396
3030463;192029
3030464;192214
3030465;192604
3030466;192629
3030467;192743
3030468;192947
3030469;193004
3030470;193444
3030471;193643
3030472;193715
3030473;193934
3030474;194037
3030479;195519
3030480;195929
3030481;195952
3030482;196271
3030483;196297
3030484;196593
3030485;196843
3030486;197193
3030487;197461
3030488;197851
3030489;197895
3030490;198039
3030491;198174
3030492;198176
3030493;198177
3030494;198183
3030495;198199
3030496;198205
3030497;198220
3030498;198238
3030499;198252
3030500;198277
3030501;198317
3030502;198326
3030503;198388
3030504;198465
3030505;198470
3030506;198471
3030507;198564
3030508;198574
3030509;198580
3030510;198594
3030511;198682
3030512;198700
3030513;198729
3030514;198785
3030515;198805
3030516;198814
3030517;198840
3030518;198905
3030519;198914
3030520;198937
3030521;198949
3030522;198995
3030523;199022
3030524;199037
3030525;199044
3030526;199074
3030527;199104
3030528;199129
3030529;199145
3030530;199155
3030531;199161
3030532;199179
3030533;199284
3030534;199298
3030535;199496
3030536;199540
3030537;199568
3030545;199606
3030546;199879
3030547;199881
3030548;199890
3030549;199895
3030550;199897
3030551;199901
3030552;199903
3030553;199904
