CumulHa;Price
1112385;0
1112389;1
1112391;3
1112394;5
1112395;6
1112399;7
1112401;8
1112406;10
1112408;11
1112409;12
1112411;13
1112417;14
1112420;15
1112422;16
1112425;17
1112428;19
1112430;20
1112434;21
1112437;22
1112439;23
1112440;26
1112443;29
1112445;30
1112446;32
1112451;33
1112452;34
1112453;35
1112459;36
1112460;37
1112463;38
1112465;39
1112466;40
1112467;42
1112472;43
1112473;44
1112474;45
1112475;46
1112476;47
1112478;48
1112480;49
1112482;50
1112485;51
1112486;52
1112489;53
1112491;54
1112492;55
1112494;56
1112495;57
1112496;58
1112497;59
1112498;60
1112499;61
1112500;63
1112501;64
1112502;65
1112507;66
1112511;68
1112513;69
1112519;70
1112520;71
1112522;72
1112523;73
1112524;74
1112528;75
1112531;76
1112533;78
1112534;79
1112538;81
1112543;82
1112544;83
1112545;85
1112546;87
1112549;88
1112552;90
1112555;92
1112556;96
1112560;97
1112561;98
1112563;99
1112565;100
1112566;101
1112568;102
1112571;103
1112572;104
1112575;105
1112578;107
1112581;108
1112583;109
1112584;111
1112586;112
1112587;113
1112590;114
1112591;115
1112592;116
1112596;117
1112598;118
1112600;121
1112602;122
1112605;123
1112609;124
1112610;125
1112612;126
1112613;127
1112615;128
1112616;129
1112617;130
1112618;132
1112619;135
1112621;136
1112623;138
1112626;139
1112627;140
1112629;141
1112631;142
1112634;144
1112636;145
1112639;147
1112641;148
1112643;149
1112645;150
1112646;151
1112647;153
1112651;155
1112652;156
1112653;157
1112654;158
1112656;159
1112657;160
1112658;163
1112661;165
1112664;166
1112665;167
1112668;168
1112670;169
1112671;170
1112673;171
1112674;172
1112675;174
1112677;175
1112679;177
1112681;178
1112683;180
1112684;184
1112686;185
1112690;186
1112692;187
1112693;188
1112698;190
1112699;191
1112702;192
1112705;193
1112707;194
1112709;195
1112710;196
1112711;197
1112713;199
1112714;200
1112716;201
1112719;202
1112720;203
1112723;204
1112725;205
1112727;206
1112730;207
1112732;209
1112734;210
1112736;211
1112738;212
1112739;213
1112740;214
1112741;216
1112742;217
1112743;219
1112745;220
1112747;221
1112751;223
1112752;224
1112753;225
1112754;226
1112755;227
1112757;228
1112758;234
1112759;240
1112760;304
1112761;327
1112762;359
1112763;433
1112764;468
1112765;474
1112766;631
1112767;675
1112768;774
1112769;801
1112770;855
1112771;901
1112772;931
1112773;1024
1112774;1031
1112775;1092
1112776;1106
1112777;1152
1112778;1177
1112779;1183
1112780;1189
1112781;1313
1112782;1431
1112783;1645
