CumulHa;Price
201112;0
525416;200000
525421;200001
525430;200002
525434;200003
525441;200004
525442;200013
525443;200019
525444;200024
525445;200039
525446;200042
525447;200070
525448;200078
525449;200082
525450;200100
525451;200101
525452;200117
525454;200123
525455;200124
525457;200127
525458;200132
525459;200135
525460;200136
525461;200138
525462;200140
525467;200141
525473;200142
525474;200143
525475;200217
525476;200750
525477;200817
525478;200978
525479;201187
525480;202718
525481;202833
525482;203102
525483;203117
525484;203735
525485;204246
525486;204451
525487;204623
525488;205131
525489;205143
525490;205218
525491;205399
525492;205572
525493;205654
525494;205870
525495;206449
525496;206520
525497;206799
525498;207010
525499;207013
525500;207029
525501;207099
525502;207291
525503;207395
525504;207624
525505;207647
525506;208017
525507;208126
525508;208279
525509;208673
525510;208766
525511;208838
525512;208840
525513;208865
525514;209322
525515;209725
525516;209819
525517;209904
525518;209943
525519;209997
525520;210207
525521;210809
525522;210874
525523;210963
525524;211011
525525;211057
525526;211080
525527;211664
525528;211903
525529;212360
525530;212588
525531;212732
525532;212869
525533;212975
525534;213757
525535;213993
525536;214127
525537;214191
525538;214585
525539;214867
525540;215368
525541;216191
525542;216251
525543;216474
525544;216557
525545;216595
525546;216716
525547;216803
525548;217634
525549;218183
525550;218219
525551;218379
525552;218389
525553;218751
525554;219194
525555;219259
525556;219690
525557;219698
525558;219722
525559;219758
525560;220285
525561;220413
525562;220515
525563;220522
525564;220617
525565;220740
525566;221144
525567;221962
525568;222034
525569;222491
525570;222603
525571;222717
525572;223266
525573;223338
525574;223482
525575;223515
525576;223564
525577;223856
525578;224057
525579;224609
525580;224909
525581;225109
525582;225126
525583;225264
525584;225353
525585;225612
525586;225810
525587;225919
525588;226105
525589;226274
525590;226406
525591;226811
525592;227029
525593;227413
525594;227895
525595;227938
525596;228088
525597;228103
525598;228336
525599;228379
525600;228550
525601;228664
525602;228766
525603;228799
525604;228903
525605;229256
525606;229396
525607;229730
525608;230266
525609;230436
525610;230790
525611;231011
525612;231444
525613;232658
525614;232726
525615;232802
525616;232833
525617;232864
525618;232987
525619;233041
525620;233051
525621;233056
525622;233082
525623;233278
525624;233331
525625;233646
525626;234533
525627;234636
525628;234657
525629;235203
525630;235300
525631;235727
525632;236124
525633;236363
525634;236590
525635;236824
525636;237067
525637;237607
525638;237717
525639;237740
525640;237843
525641;237915
525642;238121
525643;238260
525644;238425
525645;238644
525646;238861
525647;238902
525648;239112
525649;239358
525650;239372
525651;239638
525652;239910
525653;239988
525654;240152
525655;240463
525656;240525
525657;240635
525658;240697
525659;240739
525660;241039
525661;241305
525662;241470
525663;241507
525664;241508
525665;241554
525666;241924
525667;242195
525668;242351
525669;242399
525670;242539
525671;242589
525672;242939
525673;242945
525674;243150
525675;243465
525676;243483
525677;243590
525678;243806
525679;244087
525680;245149
525681;245673
525682;245782
525683;245909
525684;246102
525685;246162
525686;246551
525687;246763
525688;247205
525689;247398
525690;247408
525691;247700
525692;248006
525693;248046
525694;248054
525695;248084
525696;248531
525697;248635
525698;248647
525699;271023
525700;274720
525701;314245
525702;342064
525703;345003
525704;347674
525705;348829
525706;348834
525709;348841
525711;348842
525712;433969
525713;436930
525714;437062
525715;469962
525716;470833
525717;471006
525719;481764
525720;484851
525721;484963
525722;485987
525724;492651
525725;496600
525726;499260
525727;499750
525728;502001
525729;505703
525730;511926
525731;511977
525732;512067
525733;512156
525734;512246
525735;514468
525737;519768
525738;528422
525739;530196
525740;533133
525741;533211
525742;533288
525743;533441
525744;533517
525745;539557
525746;541297
525748;547903
525749;550287
525750;551204
525751;552414
525752;554512
525753;556432
525754;561303
525756;561826
525757;562019
525758;564467
525759;564512
525760;567547
525761;568520
525762;568709
525764;572537
525765;574416
525766;574626
525767;576873
525768;576964
525769;577290
525770;580623
525771;580652
525772;580825
525773;581083
525774;584044
525775;584147
525776;585105
525777;585130
525778;585278
525779;587229
525780;587768
525781;587833
525782;587854
525783;589097
525784;589246
525785;589385
525786;591069
525787;591104
525788;591128
525789;591585
525790;592438
525791;592688
525792;592784
525793;592865
525794;593015
525795;593138
525796;593203
525797;593484
525798;593958
525799;596287
525800;596342
669144;600000
669145;600166
669853;700000
669854;719172
669855;756530
669856;769472
669857;775683
669858;775908
669859;780030
669860;793009
669861;793723
669862;793998
669863;796747
669864;796795
669865;796832
669866;796878
669867;797186
669868;797434
693957;800000
693958;800044
693959;800091
693960;800126
693961;800461
693962;800625
693963;800732
693964;803329
693965;803373
693966;805097
693967;806113
693968;808808
693969;808949
693970;809411
693971;810377
693972;811435
693973;811534
693974;811980
693975;812545
693976;814009
693978;814164
693979;814180
693980;814357
693981;814483
693982;814570
693983;816279
693984;816448
693985;816502
693986;816539
693987;818512
693988;818527
693991;818661
693992;818728
693993;818857
693994;818936
693995;819007
693996;819058
693997;819133
693998;820787
693999;821178
694000;821262
694001;821302
694002;821374
694003;821462
694004;821478
694005;821506
694006;823502
694007;823711
694008;826172
694009;826321
694010;828333
694011;828572
694012;828677
694013;828792
694014;828798
694015;829119
694016;831054
694017;831102
694018;831164
694019;831517
694020;831522
694021;833611
694022;833752
694023;833769
694024;834288
694025;835857
694026;836398
694027;836676
694028;841680
694029;842068
694030;842169
694031;842189
694032;848423
694033;851942
694034;863459
1904333;1000000
1904340;1021792
1904341;1040875
1904362;1058177
1904363;1071630
1904364;1071655
1904365;1072809
1904366;1073430
1904367;1088173
1904368;1091979
1904420;1093609
1904421;1105877
1904422;1106745
1904423;1107133
1904429;1107199
1904430;1107326
1904431;1107348
1904432;1107387
1904433;1107905
1904434;1107941
1904435;1108528
1904436;1108589
1904437;1109109
1904438;1109616
1904439;1116286
1904440;1119794
1904441;1122208
1904442;1124633
1904483;1127777
1904494;1129638
1904498;1135656
1904504;1140740
1904505;1141681
1904506;1142688
1904507;1144280
1904508;1144796
1904509;1145900
1904510;1146502
1904511;1147717
1904513;1151451
1904516;1155025
1904577;1160416
1904578;1160519
1904595;1161872
1904600;1172682
1904601;1172697
1904602;1173253
1904603;1173804
1904605;1174064
1904606;1175697
1904612;1175731
1904613;1177237
1904614;1177328
1904615;1177807
1904616;1178798
1904617;1178906
1904618;1181541
1904619;1185393
1904620;1188772
1904621;1190521
1904624;1190944
1904693;1191313
1904714;1192366
1904717;1196261
1904718;1202426
1904731;1202831
1904733;1203834
1904734;1206794
1904735;1207686
1904736;1208121
1904737;1208548
1904738;1208766
1904739;1208811
1904741;1210078
1904743;1211880
1904755;1214393
1904832;1220312
1904852;1220972
1904853;1226096
