CumulHa;Price
128298;0
130433;215204
130434;215205
130437;215207
130440;215210
130448;215211
130451;215212
130453;215215
130455;215216
130458;215217
130463;215219
130467;215221
130469;215225
130471;215226
130484;215228
130486;215230
130489;215232
130492;215236
130501;215237
130504;215239
130505;215242
130508;215244
130510;215248
130513;215249
130521;215251
130524;215256
130528;215260
130530;215261
130533;215263
130535;215264
130543;215266
130544;215268
130549;215270
130554;215275
130560;215278
130561;215280
130563;215285
130570;215289
130573;215290
130577;215291
130588;215292
130590;215293
130593;215294
130597;215297
130600;215301
130603;215305
130608;215306
130610;215307
130616;215311
130618;215314
130619;215316
130622;215317
130628;215318
130631;215321
130634;215322
130638;215324
130644;215327
130646;215328
130647;215336
130652;215338
130662;215339
130663;215340
130667;215343
130671;215346
130673;215348
130676;215349
130681;215350
130682;215353
130689;215354
130690;215356
130694;215358
130702;215361
130703;215362
130704;215365
130706;215369
130719;215375
130722;215377
130725;215379
130727;215382
130732;215383
130736;215384
130739;215386
130743;215388
130745;215391
130746;215394
130752;215395
130754;215397
130756;215400
130761;215405
130764;215406
130767;215407
130773;215410
130778;215412
130784;215417
130786;215419
130789;215420
130792;215425
130797;215426
130803;215427
130809;215428
130810;215432
130814;215435
130816;215436
130819;215443
130826;215445
130829;215447
130832;215449
130833;215450
130836;215456
130839;215457
130841;215458
130844;215460
130845;215461
130849;215462
130850;215464
130860;215465
130862;215468
130866;215469
130872;215471
130873;215472
130877;215473
130880;215478
130884;215479
130889;215483
130896;215484
130900;215488
130902;215491
130910;215493
130913;215495
130914;215496
130917;215502
130919;215503
130921;215504
130922;215507
130924;215509
130927;215510
130935;215513
130939;215515
130941;215517
130943;215518
130950;215522
130954;215526
130961;215529
130965;215534
130966;215535
130969;215538
130974;215541
130982;215546
130992;215548
131000;215549
131003;215550
131007;215553
131011;215555
131012;215557
131018;215561
131021;215562
131029;215564
131030;215568
131037;215574
131046;215576
131052;215578
131055;215582
131060;215583
131062;215585
131066;215588
131069;215591
131076;215592
131078;215596
131085;215598
131090;215602
131093;215603
131095;215605
131103;215609
131110;215610
131113;215613
131123;215614
131124;215618
131127;215625
131136;215626
131139;215631
131146;215632
131147;215633
131152;215634
131156;215638
131163;215640
131169;215646
131181;215650
131183;215654
131185;215656
131188;215657
131190;215663
131207;215665
131211;215668
131214;215670
131220;215672
131229;215674
131232;215675
131236;215677
131241;215680
131243;215681
131249;215683
131256;215685
131258;215689
131266;215691
131270;215696
131273;215697
131277;215699
131285;215700
131287;215702
131288;215705
131293;215711
131295;215712
131296;215713
131313;215717
131319;215719
131326;215727
131329;215728
131333;215733
131337;215735
131341;215737
131344;215738
131345;215739
131353;215741
131354;215744
131358;215745
131366;215747
131368;215748
131374;215749
131376;215752
131380;215753
131385;215755
131394;215757
131398;215759
131403;215760
131405;215761
131412;215764
131414;215769
131419;215773
131421;215774
131427;215776
131428;215778
131432;215782
131438;215785
131444;215788
131451;215789
131452;215790
131456;215794
131458;215796
131461;215797
131467;215798
131468;215799
131476;215802
131481;215805
131491;215808
131500;215810
131505;215813
131507;215814
131516;215818
131517;215821
131519;215824
131523;215825
131527;215826
131530;215828
131534;215831
131535;215832
131539;215833
131540;215834
131542;215837
131544;215839
131551;215841
131555;215842
131559;215843
131565;215845
131575;215846
131587;215849
131592;215850
131595;215851
131598;215854
131602;215855
131607;215857
131610;215858
131611;215860
131619;215861
131623;215864
131624;215866
131627;215867
131632;215868
131639;215869
131643;215874
131648;215875
131655;215876
131656;215878
131657;215879
