CumulHa;Price
1089898;0
1089989;1
1090045;2
1090048;3
1090049;4
1090052;5
1090056;6
1090060;7
1090063;8
1090064;9
1090067;10
1090068;11
1090071;12
1090073;13
1090074;14
1090077;15
1090079;16
1090082;17
1090086;18
1090089;19
1090091;20
1090100;21
1090105;22
1090107;23
1090111;24
1090114;25
1090116;26
1090121;27
1090123;28
1090124;29
1090125;30
1090127;31
1090128;32
1090129;33
1090130;34
1090131;35
1090133;36
1090136;37
1090137;38
1090140;39
1090142;40
1090143;41
1090144;42
1090147;43
1090149;44
1090151;45
1090156;46
1090157;47
1090158;48
1090160;49
1090162;50
1090165;51
1090167;52
1090168;53
1090170;54
1090174;55
1090175;57
1090177;58
1090178;60
1090179;61
1090181;62
1090182;63
1090183;64
1090189;65
1090190;66
1090192;67
1090194;68
1090195;69
1090197;70
1090200;71
1090204;72
1090208;73
1090209;74
1090213;75
1090216;76
1090220;77
1090223;78
1090224;79
1090227;80
1090228;81
1090229;82
1090231;83
1090233;84
1090236;85
1090237;87
1090238;88
1090239;89
1090241;90
1090243;91
1090244;92
1090246;93
1090247;94
1090249;95
1090252;98
1090254;99
1090258;100
1090263;101
1090265;102
1090267;103
1090268;104
1090270;105
1090271;106
1090273;108
1090275;109
1090277;111
1090280;112
1090283;113
1090284;114
1090288;115
1090290;116
1090292;118
1090295;119
1090297;120
1090299;121
1090301;122
1090304;123
1090306;124
1090310;125
1090311;126
1090314;127
1090316;128
1090318;129
1090324;130
1090325;131
1090328;132
1090331;133
1090333;134
1090336;135
1090340;136
1090342;138
1090343;139
1090345;140
1090348;141
1090349;142
1090352;143
1090353;144
1090357;145
1090359;146
1090364;147
1090365;148
1090368;149
1090369;151
1090370;152
1090376;153
1090378;154
1090381;156
1090383;157
1090386;158
1090390;159
1090392;160
1090395;161
1090399;163
1090401;164
1090407;165
1090409;166
1090411;167
1090413;168
1090418;169
1090420;170
1090425;171
1090426;173
1090427;176
1090429;177
1090432;178
1090433;179
1090434;180
1090438;182
1090440;183
1090442;185
1090444;186
1090446;188
1090447;189
1090448;190
1090450;192
1090452;193
1090453;194
1090454;195
1090456;197
1090457;199
1090460;200
1090461;202
1090462;205
1090463;207
1090464;209
1090466;211
1090467;212
1090468;214
1090469;215
1090470;216
1090472;217
1090474;218
1090476;219
1090477;220
1090478;221
1090479;224
1090480;225
1090481;229
1090483;230
1090484;231
1090485;232
1090487;233
1090489;234
1090491;238
1090492;239
1090494;241
1090495;249
1090497;251
1090498;252
1090499;253
1090500;255
1090501;257
1090502;258
1090503;259
1090504;261
1090505;264
1090507;269
1090508;271
1090509;274
1090510;275
1090511;276
1090513;277
1090514;284
1090515;286
1090516;287
1090519;288
1090520;289
1090521;291
1090522;292
1090523;296
1090525;297
1090527;298
1090528;299
1090531;300
1090532;303
